web-scraper-order,web-scraper-start-url,pages,pages-href,ads,ads-href,title,amount,location,Unit Type,Bedrooms,description,size
"1585067847-532","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","9","https://www.kijiji.ca/b-apartments-condos/calgary/page-9/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Bankview Apartment For Rent | 1639 26 Avenue SW","https://www.kijiji.ca/v-apartments-condos/calgary/bankview-apartment-for-rent-1639-26-avenue-sw/1460810584","Bankview Apartment For Rent | 1639 26 Avenue SW","$1,149.00","1639 26 Avenue SW, Calgary, AB, T2T 1C7(View Map)","null","null","Grapes Manor is located in Bankview next to the community of South Calgary. Grapes Manor is located in SW Calgary along 26th Ave SW. Residents of Grapes Manor share close proximity to inner-city Calgary / downtown as well as the Marda Loop area and its popular shopping district.

Grapes Manor has newly renovated suites. The building is is a family friendly and pet-friendly with onsite laundry and secure entry to every suite. Apartments in Grapes Manor have spacious balconies with parking available to tenants.","837"
"1585064662-58","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","10","https://www.kijiji.ca/b-apartments-condos/calgary/page-10/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","1 bedroom  apartment for $999/month","https://www.kijiji.ca/v-apartments-condos/medicine-hat/1-bedroom-apartment-for-999-month/1492680772","1 bedroom  apartment for $999/month","$999.00","1919 University Dr NW, Calgary, AB T2N 4K8, Canada(View Map)","null","null","1 bedroom apartment is available from end of this month for lease take over for 10 month, lease is renewal.
Leasing company will officially transfer the lease . Parking available at a additional cost of $30, Internet available $30 for 200GB ( or $45 for unlimited), Cable available with limited channel for $10. Please feel free to contact if you need further information","650"
"1585068635-553","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","8","https://www.kijiji.ca/b-apartments-condos/calgary/page-8/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Beltline Apartment For Rent | 807 Royal Ave SW","https://www.kijiji.ca/v-apartments-condos/calgary/beltline-apartment-for-rent-807-royal-ave-sw/1460811317","Beltline Apartment For Rent | 807 Royal Ave SW","$1,150.00","807 Royal Ave SW, Calgary, AB, T2T 0L4(View Map)","null","null","Royal Engel apartments are located in the popular central Calgary community of Lower Mount Royal. Situated along Royal Ave, these apartments share close proximity to downtown while being situated in a quiet residential community.","550"
"1585067055-512","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","1","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","1 Bdrm available at 924 7th Avenue SW, Calgary","https://www.kijiji.ca/v-apartments-condos/calgary/1-bdrm-available-at-924-7th-avenue-sw-calgary/1472182897","1 Bdrm available at 924 7th Avenue SW, Calgary","$1,045.00","924 7th Avenue SW, Calgary, AB, T2P 1A6(View Map)","null","null","Visit our Website: https://www.caprent.com/apartments-for-rent/calgary-ab/pentland-place/","Not Available"
"1585064927-127","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","14","https://www.kijiji.ca/b-apartments-condos/calgary/page-14/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","1 Bedroom Premium - 1030 - 16 Ave SW *Premium Suite*","https://www.kijiji.ca/v-apartments-condos/calgary/1-bedroom-premium-1030-16-ave-sw-premium-suite/1491053933","1 Bedroom Premium - 1030 - 16 Ave SW *Premium Suite*","$1,315.00","1030 - 16 Ave SW, Calgary, AB, T2R 1N1(View Map)","null","null","null","600"
"1585064967-136","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","18","https://www.kijiji.ca/b-apartments-condos/calgary/page-18/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Cozy & Convenient 1 Bedroom Condo in Alura","https://www.kijiji.ca/v-apartments-condos/calgary/cozy-convenient-1-bedroom-condo-in-alura/1487466317","Cozy & Convenient 1 Bedroom Condo in Alura","$1,500.00","1320 1 St SE, Calgary, AB T2G 0G8, Canada(View Map)","null","null","This one bedroom, one bathroom condo offers the perfect balance of style, convenience, and comfort. This condo is intimately located within walking distance of downtown, LRT, 17 Ave, both the Elbow and Bow river, the Saddledome, and the Stampede grounds.","600"
"1585065201-199","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","20","https://www.kijiji.ca/b-apartments-condos/calgary/page-20/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Wanted:
                            Lady seeking small basement suite or apt for $650/max per month","https://www.kijiji.ca/v-apartments-condos/calgary/lady-seeking-small-basement-suite-or-apt-for-650-max-per-month/1485324393","Wanted: Lady seeking small basement suite or apt for $650/max per month","Please Contact","T2G0B2, Canada(View Map)","null","null","Hello,
How are you?
Lady searching for a small suite longterm & have a budget of $600-ish. Hoping for a home in the SW or NW areas of the city; with honest, respectful & polite Landlords. Quiet, reliable & responsible Lady without pets or children. Prefer an inner city community that has easy access to public transportation.
Please contact to discuss if anyone has a clean suite or apt that will be suitable.
Have a happy day!
Regards,
J","1,000"
"1585065702-313","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","16","https://www.kijiji.ca/b-apartments-condos/calgary/page-16/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","TWO BED East Village","https://www.kijiji.ca/v-apartments-condos/calgary/two-bed-east-village/1489833868","TWO BED East Village","$1,200.00","450 8th Ave SE, Calgary T2G 0L7 AB(View Map)","null","null","2 bedroom 1 bathroom condo. 480 Sq. Ft.
In-suite laundry, dishwasher, Large floor to ceiling windows, Large wraparound balcony
- includes Water and Heat
- Granite counters in Kitchen
_ Granite in Bathroom vanity
- Stainless steel appliances
- Fitness center
- Roof-top kitchen and entertainment area
Bike racks and locker in building basement
Please Note the building as No Parking","480"
"1585064888-116","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","14","https://www.kijiji.ca/b-apartments-condos/calgary/page-14/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","RECEIVE ONE MONTH FREE! 1 Bed 1 Bath at Missao! Pet Free!","https://www.kijiji.ca/v-apartments-condos/calgary/receive-one-month-free-1-bed-1-bath-at-missao-pet-free/1490980525","RECEIVE ONE MONTH FREE! 1 Bed 1 Bath at Missao! Pet Free!","$1,165.00","1800 4 Street SW, Calgary, AB, T2S 2S5(View Map)","null","null","Welcome to Missao!

RECEIVE ONE MONTH FREE!*

Sign your new lease for a 12 month rental by March 31, 2020 to receive your first month rent free for move ins on or before May 1st, 2020!*","630"
"1585064707-71","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","10","https://www.kijiji.ca/b-apartments-condos/calgary/page-10/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","3 Bedroom Mainfloor","https://www.kijiji.ca/v-apartments-condos/calgary/3-bedroom-mainfloor/1492722822","3 Bedroom Mainfloor","$1,300.00","2219 28 Ave SW, Calgary, AB T2T 1K8, Canada(View Map)","null","null","3 Bedroom Main Floor
- Full Kitchen","1,300"
"1585066010-393","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","13","https://www.kijiji.ca/b-apartments-condos/calgary/page-13/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Duplex For Rent In Killarney SW (Option Furnished )","https://www.kijiji.ca/v-apartments-condos/calgary/duplex-for-rent-in-killarney-sw-option-furnished/1490005840","Duplex For Rent In Killarney SW (Option Furnished )","$2,899.00","1914 36 St SW, Calgary, AB T3E 2Y9, Canada(View Map)","null","null","Gorgeous 3 story townhouse for rent!
This is a 3 bedroom townhouse with garage ,fully furnished Killarney, Close Downtown Calgary. Near multiple Community features such as shopping mall including Safeway, Walmart, Gas stations, banks, restaurant, C-Train, bus stop, and more. Nice Neighbourhood. Schools and public transportation access across Street.. A must see! You won't be disappointed. Please call or email for more information.
Furnished $3299","2,300"
"1585065072-163","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","18","https://www.kijiji.ca/b-apartments-condos/calgary/page-18/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Wanted:
                            Wanted bachelor suite","https://www.kijiji.ca/v-apartments-condos/calgary/wanted-bachelor-suite/1488336143","Wanted: Wanted bachelor suite","$650.00","T2P1J9, Canada(View Map)","null","null","24yr old male and 1.5yr old male cat looking for a place to call home , can provide a clean background check. Looking for a place to move in to ASAP","200"
"1585068903-557","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","8","https://www.kijiji.ca/b-apartments-condos/calgary/page-8/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Bridgeland Apartment For Rent | 419 1 Ave NE","https://www.kijiji.ca/v-apartments-condos/calgary/bridgeland-apartment-for-rent-419-1-ave-ne/1460811504","Bridgeland Apartment For Rent | 419 1 Ave NE","$1,175.00","419 1 Ave NE, Calgary, AB, T2E 0B3(View Map)","null","null","Pilling Place has Bridgeland apartments for rent. This property is located in the NE Calgary community of Bridgeland. Bridgeland is a trendy community that is across the Bow River from downtown Calgary. Pilling Place is a few blocks North of Memorial Drive and West of Deerfoot Trail and Edmonton Trail.","764"
"1585065865-358","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","15","https://www.kijiji.ca/b-apartments-condos/calgary/page-15/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","2 Bedroom - 3380C Spruce Dr. SW","https://www.kijiji.ca/v-apartments-condos/calgary/2-bedroom-3380c-spruce-dr-sw/1490487640","2 Bedroom - 3380C Spruce Dr. SW","$1,145.00","3380C Spruce Dr. SW, Calgary, AB, T3C 3A2(View Map)","null","null","null","977"
"1585066629-491","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","1","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Now Renting! Newly-Renovated Suites! - Newly Renovated...","https://www.kijiji.ca/v-apartments-condos/calgary/now-renting-newly-renovated-suites-newly-renovated/1486102955","Now Renting! Newly-Renovated Suites! - Newly Renovated...","$1,025.00","1512 15 Ave SW, Calgary, AB, T3C 0X9(View Map)","null","null","Welcome to Sunalta Place in Calgary!","Not Available"
"1585066530-485","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","11","https://www.kijiji.ca/b-apartments-condos/calgary/page-11/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","1 Bedrooms - Bright and Spacious!","https://www.kijiji.ca/v-apartments-condos/calgary/1-bedrooms-bright-and-spacious/1466418714","1 Bedrooms - Bright and Spacious!","$1,100.00","909 7th Avenue SW, Calgary, AB, T2P 1A6(View Map)","null","null","Garden Towers is a family friendly building that offers 1- and 2-bedroom apartments located in vibrant downtown Calgary. We are walking distance to Kensington, an amazing array of stores and shops downtown, 3 blocks from the grocery stores, Prince’s Island and just steps from the LRT. Just cross the bridge and you are on Calgary’s riverside scenic bike and walking path!","710"
"1585065454-258","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","17","https://www.kijiji.ca/b-apartments-condos/calgary/page-17/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Wanted:
                            Wanted: Rent in Calgary area starting the end of March","https://www.kijiji.ca/v-apartments-condos/calgary/wanted:-rent-in-calgary-area-starting-the-end-of-march/1488755767","Wanted: Wanted: Rent in Calgary area starting the end of March","Please Contact",", Calgary  T1s4j9 AB, Canada(View Map)","null","null","Hello, I am looking to rent. I am a male vet tech student at Lakeland college in Vermilion, who is doing my practicum at Dewinton pet hospital from March 30th to May 8th so I am looking for a place for that time or probably longer. I do have pets, 1 dog and 2 cats. I am pretty easy going and just trying to find a affordable place to live. thank you for your time","1"
"1585066581-487","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","1","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Renovated Two Bedroom- One and a Half Bathroom - 100 Off/Month","https://www.kijiji.ca/v-apartments-condos/calgary/renovated-two-bedroom-one-and-a-half-bathroom-100-off-month/1457645661","Renovated Two Bedroom- One and a Half Bathroom - 100 Off/Month","$1,640.00","930 15th Ave SW, Calgary, AB, T2R 0S3(View Map)","null","null","photos depict similar suite finishes, not actual suite","Not Available"
"1585065564-282","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","17","https://www.kijiji.ca/b-apartments-condos/calgary/page-17/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","2 Bedroom for rent Marda Loop","https://www.kijiji.ca/v-apartments-condos/calgary/2-bedroom-for-rent-marda-loop/1489352810","2 Bedroom for rent Marda Loop","$1,090.00","3505 21 St SW, Calgary, AB T2T 5B5, Canada(View Map)","null","null","2 bedroom for rent in 4 plex Marda loop 1 block east of garrison woods Safeway . On 21 street SW $1090.00 plus utilities","1,025"
"1585065775-333","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","15","https://www.kijiji.ca/b-apartments-condos/calgary/page-15/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Prestige Apartments One-Bedroom Suites for Rent","https://www.kijiji.ca/v-apartments-condos/calgary/prestige-apartments-one-bedroom-suites-for-rent/1463629336","Prestige Apartments One-Bedroom Suites for Rent","$1,075.00","824 13 Avenue SW, Calgary, AB, T2R 0L2(View Map)","null","null","Please note that suites may differ from those pictured.","Not Available"
"1585064745-81","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","10","https://www.kijiji.ca/b-apartments-condos/calgary/page-10/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Wanted:
                            Christian single Mum of 2 seeking single mums to share rent! :)","https://www.kijiji.ca/v-apartments-condos/calgary/christian-single-mum-of-2-seeking-single-mums-to-share-rent-:/1492815407","Wanted: Christian single Mum of 2 seeking single mums to share rent! :)","Please Contact",", Calgary  A1A 1A1 AB, Canada(View Map)","null","null","Hey mum,","1,000"
"1585066221-437","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","12","https://www.kijiji.ca/b-apartments-condos/calgary/page-12/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Apartment for rent in Kensington","https://www.kijiji.ca/v-apartments-condos/calgary/apartment-for-rent-in-kensington/1492089584","Apartment for rent in Kensington","$1,200.00","314 14 street nw, T2N1Z8, Calgary, AB(View Map)","null","null","Immediate possession available or April 1. Spacious newly renovated 2 bedrooms apartment in the highly sought after neighbourhood of Kensington. This is the corner unit, concrete walls and heated floor.
Close to Downtown, SAIT, U of C, shops, cafe, restaurants and the night life of Kensington. Newly renovated kitchen, bathroom, with new stainless steel appliances.","800"
"1585065927-371","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","13","https://www.kijiji.ca/b-apartments-condos/calgary/page-13/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Bachelor available at 342 15th Avenue SW, Calgary","https://www.kijiji.ca/v-apartments-condos/calgary/bachelor-available-at-342-15th-avenue-sw-calgary/1491110544","Bachelor available at 342 15th Avenue SW, Calgary","$965.00","342 15th Avenue SW, Calgary, AB, T2R 0Y1(View Map)","null","null","Visit our Website: https://www.caprent.com/apartments-for-rent/calgary-ab/kingston-tower/","Not Available"
"1585065647-298","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","16","https://www.kijiji.ca/b-apartments-condos/calgary/page-16/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","RENOVATED CONDO IN GREAT LOCATION (SW)","https://www.kijiji.ca/v-apartments-condos/calgary/renovated-condo-in-great-location-sw/1489504651","RENOVATED CONDO IN GREAT LOCATION (SW)","$1,200.00","525 56 Ave SW, Calgary, AB T2V 4Z9, Canada(View Map)","null","null","Renting a spacious, 1 bedroom condo on the 3rd floor, renovated in 2019. Beautifully maintained building with secure entry, heated underground parking, well kept common areas and friendly tenants. Excellent location within a 10 minute walk to: Mall, Grocery, Chinook LRT, Multiple Parks. Just a 10 Minute drive to downtown and easy access to lots of cycling paths.","1,100"
"1585067689-527","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","9","https://www.kijiji.ca/b-apartments-condos/calgary/page-9/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","South West Apartment For Rent | 707 57 Avenue SW","https://www.kijiji.ca/v-apartments-condos/calgary/south-west-apartment-for-rent-707-57-avenue-sw/1460810570","South West Apartment For Rent | 707 57 Avenue SW","$1,000.00","707 57 Avenue SW, Calgary, AB, T2V 0H5(View Map)","null","null","Chinook Woods Apartments are located in the SW Calgary community of Windsor Park. Residents of Chinook Woods is conveniently located a block away from Chinook Mall one of Calgary's most popular retail shopping destinations.","538"
"1585066095-414","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","12","https://www.kijiji.ca/b-apartments-condos/calgary/page-12/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Furnished Kensington Executive One Bedroom","https://www.kijiji.ca/v-apartments-condos/calgary/furnished-kensington-executive-one-bedroom/1491738853","Furnished Kensington Executive One Bedroom","$1,050.00","1415 1 Ave NW, Calgary, AB T2N 0A9, Canada(View Map)","null","null","Amazing location in the heart of Kensington. Renovated 1 bedroom in a quiet secure building. Tastily furnished Nice sunny unit for upper floor with balcony. Rooms are bright and spacious with lots of windows for natural light Kensington shops and restaurants are 1/2 a block away. Walk to the C-train and Downtown. If you want to live in Calgary you need to live here! Water, heat, internet and cable included. Parking available. Available Immediately
Watch our virtual tour. https://youtu.be/xQ_UC0TZnOk","550"
"1585065591-288","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","17","https://www.kijiji.ca/b-apartments-condos/calgary/page-17/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Aspen&Bow-luxury Penthouse homes in Kensington","https://www.kijiji.ca/v-apartments-condos/vancouver/aspen-bow-luxury-penthouse-homes-in-kensington/1478101735","Aspen&Bow-luxury Penthouse homes in Kensington","$3,200.00","1150 Memorial Dr NW, Calgary, AB T2N 3E5, Canada(View Map)","null","null","Aspen&Bow features high-end rental homes located on Memorial Drive, steps away from the vibrant Kensington neighborhood and Bow River pathways. This highly anticipated collection of 93 luxurious 1-3 bedroom residences ranges up to 2,164 square feet including our exclusive Penthouse collection.
For more information and to book a private appointment, please visit aspenandbowbyanthem.com
Don't worry, it's included:
- Insuite Washer/Dryer
- Large private patios with gas connection for barbecuing
- In floor radiant heating
- Gas range cook top
- Matte black hardware throughout
Penthouse Collection - it's included:
- Air conditioning
- side by side full washer and dryer
- large rooftop terraces with exclusive views of the Bow River and downtown skyline
- LED lighting throughout
- Upgraded stainless steel appliance package","915"
"1585064671-61","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","10","https://www.kijiji.ca/b-apartments-condos/calgary/page-10/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","South Facing Spacious Apartment in Mission Area","https://www.kijiji.ca/v-apartments-condos/calgary/south-facing-spacious-apartment-in-mission-area/1492696772","South Facing Spacious Apartment in Mission Area","$900.00","334 22 Ave SW, Calgary, AB T2S 0H4, Canada(View Map)","null","null","Phone George directly at 403-408-9804. Please, do not message through Kijiji.
Nice one bedroom apartment with South facing balcony.
In Mission area off of 4th Street.
Walking distance from downtown.
Available April 1st.
Laundry facilities on site.
Rent includes heat and water.
Free parking.
No pets and no smoking.
$900 monthly rent and a $450 damage deposit.
Phone George directly at 403-408-9804. Please, do not message through Kijiji.","600"
"1585066059-406","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","13","https://www.kijiji.ca/b-apartments-condos/calgary/page-13/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","UNISON UNFURNISHED CONDO AT TARJAN POINTE - DOWNTOWN WEST","https://www.kijiji.ca/v-apartments-condos/calgary/unison-unfurnished-condo-at-tarjan-pointe-downtown-west/1491695157","UNISON UNFURNISHED CONDO AT TARJAN POINTE - DOWNTOWN WEST","$1,700.00","1111 6 Ave SW, Calgary, AB, T2P 5M5(View Map)","null","null","Beautiful 1 bedroom, 1 bath on the 12th floor of Downtown wests Tarjan Pointe!","600"
"1585064995-143","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","18","https://www.kijiji.ca/b-apartments-condos/calgary/page-18/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","RENTED NO LONGER AVAILABLE  Elegant Basement Suite in Marda Loop","https://www.kijiji.ca/v-apartments-condos/calgary/rented-no-longer-available-elegant-basement-suite-in-marda-loop/1487562870","RENTED NO LONGER AVAILABLE  Elegant Basement Suite in Marda Loop","$695.00","Ave SW, Calgary, AB T2T 2C1, Canada(View Map)","null","null","RENTED - NO LONGER AVAILABLE
Basement suite is ideal for professionals. Large Studio Bedroom, living room (shared), kitchen (shared), suite has shared laundry with upstairs tenants. Utilities are shared at 50%. There also free street parking. No timewasters please..","600"
"1585065757-329","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","16","https://www.kijiji.ca/b-apartments-condos/calgary/page-16/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","2 Bdrm available at 915 13th Avenue SW, Calgary","https://www.kijiji.ca/v-apartments-condos/calgary/2-bdrm-available-at-915-13th-avenue-sw-calgary/1490018642","2 Bdrm available at 915 13th Avenue SW, Calgary","$1,285.00","915 13th Avenue SW, Calgary, AB, T2R 1A9(View Map)","null","null","Visit our Website: https://www.caprent.com/apartments-for-rent/calgary-ab/aldrin-house/","Not Available"
"1585065924-370","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","13","https://www.kijiji.ca/b-apartments-condos/calgary/page-13/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Inglewood Character Estate - Pet Friendly - Room for Rent","https://www.kijiji.ca/v-apartments-condos/calgary/inglewood-character-estate-pet-friendly-room-for-rent/1491118270","Inglewood Character Estate - Pet Friendly - Room for Rent","$625.00",", Calgary T2G3E8 AB, Canada(View Map)","null","null","This handcrafted home built in 1913 is within walking distance of 9th Ave, public transit and local Breweries. Minute’s walk to the Bow River, Fort Calgary, East Village, Calgary Zoo, Blues Can, and Crossroads Farmers Market. I could probably end the ad there although for your sake, I will press on.","1,500"
"1585065816-346","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","15","https://www.kijiji.ca/b-apartments-condos/calgary/page-15/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","Legal & Newly Renovated, Quiet, & Bright 2 Bdrm Lower Suite","https://www.kijiji.ca/v-apartments-condos/calgary/legal-newly-renovated-quiet-bright-2-bdrm-lower-suite/1490346953","Legal & Newly Renovated, Quiet, & Bright 2 Bdrm Lower Suite","$1,000.00","236 26 Ave NW, Calgary, AB T2M 2C9, Canada(View Map)","null","null","Spacious, south-facing, bright and clean two-bedroom lower/basement suite - freshly painted with new carpets
Legal suite approved by the City of Calgary
Ideal for a single person, couple or roommates
Great location - close to Confederation Park, SAIT, U of C Safeway, shopping and a minute drive to downtown
On the bus routes # 2, 3, 4, 5, 19, 300, 404
Separate private back entrance with room for storage, such as bikes or camping stuff
Includes storage in the shed and back entrance room
2 parking spots are available in the fenced backyard or on the street
Shared laundry room with Miele front load washer & dryer, Miele vacuum and clothes drying area
Large kitchen with a large fridge, large stove, under-counter light fixtures & new cabinets
Each room has 2 large windows and both bedrooms new egress windows and all windows have new blinds
Interconnected and hard-wired smoke and carbon monoxide detectors are upstairs and downstairs
New quiet furnace with the air filter
Smoke and pet-free home
$200 flat for utilities - high-speed wireless internet & HD cable TV (cost $150), heat/natural gas, electricity, water, garbage, recycling is included. No extra hidden fees
A responsible landlord of 17 years
Contact Yvea 403 670 0802 or yvea.zaels@hotmail.ca
Visit www.Rentfaster.ca - ad # 15979","950"
"1585066433-465","https://www.kijiji.ca/b-apartments-condos/calgary/c37l1700199r5.0?ll=51.044733%2C-114.071883&address=Calgary%2C+Alberta","11","https://www.kijiji.ca/b-apartments-condos/calgary/page-11/c37l1700199?radius=5.0&address=Calgary%2C+Alberta&ll=51.044733,-114.071883","1 BEDROOM INNER CITY","https://www.kijiji.ca/v-apartments-condos/calgary/1-bedroom-inner-city/1492323283","1 BEDROOM INNER CITY","$875.00","631 22 Avenue NW, Calgary T2M 2N8 AB(View Map)","null","null","Clean and bright 1 bedroom basement suite, located in a quiet neighbourhood, across the street from a park. Close to SAIT and all amenities including: schools, transit, shopping and down town. Unique layout as rooms can be interchanged. 3 piece bathroom. Shared laundry. Utilities included in the rent. Please No Smoking, No Pets","740"
